date,category,title,link,author
2020-05-09 00:05:00,전국,서울 이태원 클럽 방문 청주 20대 확진…용인 확진자 방문 클럽,http://www.hani.co.kr/arti/area/chungcheong/944239.html,
2020-05-08 22:35:00,국제,미 4월 일자리 2050만개 사라졌다,http://www.hani.co.kr/arti/international/america/944238.html,
2020-05-08 22:18:00,사회,전염력 강한 초기에 여러 밀폐시설 방문…확산 속도 빠를듯,http://www.hani.co.kr/arti/society/health/944237.html,
2020-05-08 22:13:00,사회,‘조국 사태’ 진실 가릴 법정의 시간,http://www.hani.co.kr/arti/society/society_general/944236.html,
2020-05-08 22:13:00,사회,이번엔 클럽발 집단감염…수도권 다시 비상,http://www.hani.co.kr/arti/society/health/944235.html,
2020-05-08 22:10:00,사회,"“조국, 유재수 감찰 중단 지시” “재량권 행사한 적법 절차”",http://www.hani.co.kr/arti/society/society_general/944234.html,
2020-05-08 22:06:00,사회,첫 재판 방청권은 ‘선착순 8장’,http://www.hani.co.kr/arti/society/society_general/944233.html,
2020-05-08 21:46:00,국제,인도 엘지화학 가스 유출…사망자 12명으로 늘어,http://www.hani.co.kr/arti/international/asiapacific/944232.html,
2020-05-08 21:14:00,정치,통합당 새 원내대표 주호영 “밑바닥서 당 재건”,http://www.hani.co.kr/arti/politics/assembly/944231.html,
2020-05-08 21:04:00,정치,"강경화 외교장관, 일 모테기 외무상에 감사 서한",http://www.hani.co.kr/arti/politics/diplomacy/944230.html,
2020-05-08 21:04:00,스포츠,K리그 무관중 킥오프…전북 이동국 개막전 축포,http://www.hani.co.kr/arti/sports/soccer/944229.html,
2020-05-08 20:56:00,국제,삼성엔지니어링 UAE현장서 코로나19 확진자 73명 발생,http://www.hani.co.kr/arti/international/international_general/944228.html,
2020-05-08 20:50:00,국제,"엘지화학, 인도 공장 가스유출 사고 사망자 1명 늘어 총 12명",http://www.hani.co.kr/arti/international/international_general/944227.html,
2020-05-08 20:48:00,정치,"미, ‘방위비 13억달러 요구’ 공개로 50% 증액 굳히기 압박",http://www.hani.co.kr/arti/politics/diplomacy/944226.html,
2020-05-08 20:48:00,정치,슈퍼여당 맞설 협상력·안정된 리더십…주호영 “수권정당 만들겠다”,http://www.hani.co.kr/arti/politics/assembly/944225.html,
2020-05-08 20:19:00,사회,‘56년 만의 미투’ 최말자씨가 진짜 하고 싶은 말은요,http://www.hani.co.kr/arti/society/society_general/944224.html,
2020-05-08 20:11:00,사회,이태원 클럽 다녀온 확진자 누나도 양성…인천서 2차 감염,http://www.hani.co.kr/arti/society/society_general/944223.html,
2020-05-08 20:04:00,사설.칼럼,‘한국판 뉴딜’에는 왜 ‘그린’이 빠져 있을까,http://www.hani.co.kr/arti/opinion/column/944222.html,
2020-05-08 20:04:00,사회,[한 장의 다큐] 떠나가는 봄의 그림자,http://www.hani.co.kr/arti/society/society_general/944221.html,
2020-05-08 20:02:00,사회,"'코로나 확진자 발생' 티맥스 ""전 사업장 폐쇄·전원 검사 추진""",http://www.hani.co.kr/arti/society/society_general/944220.html,
2020-05-08 20:01:00,사회,이태원 클럽 4∼5일도 확진자 다녀가…조사대상 대폭 늘 전망,http://www.hani.co.kr/arti/society/society_general/944219.html,
2020-05-08 19:54:00,문화,"전현무 연인 이혜성 아나운서, KBS에 사표 제출",http://www.hani.co.kr/arti/culture/culture_general/944218.html,
2020-05-08 19:51:00,문화,‘여성스럽다’는 표현을 참지 않는 아나운서가 있다는 것,http://www.hani.co.kr/arti/culture/culture_general/944217.html,
